role,allowed_request_types,approval_limit_pln,can_override,requires_note,requires_secondary_review,review_scope,max_risk_level,active_role,human_readable_role_description
finance_review,"PROCUREMENT|GRANT_EXPENSE|CONSULTING|LEGAL_SERVICE|PARTNERSHIP",250000,FALSE,TRUE,FALSE,budget_validation,CRITICAL,TRUE,"Finance review validates budget availability, allocation continuity, and financial exposure before institutional handoff."
legal_review,"PROCUREMENT|CONSULTING|LEGAL_SERVICE|PARTNERSHIP",500000,FALSE,TRUE,FALSE,contractual_review,CRITICAL,TRUE,"Legal review validates contractual and institutional legal review continuity before handoff."
management_board,"PROCUREMENT|CONSULTING|GRANT_EXPENSE|PARTNERSHIP|LEGAL_SERVICE",1000000,FALSE,TRUE,TRUE,strategic_authorization,CRITICAL,TRUE,"Management board review handles high-risk and institutionally sensitive approvals."
executive_review,"PROCUREMENT|PARTNERSHIP|LEGAL_SERVICE|CONSULTING",5000000,TRUE,TRUE,TRUE,executive_authorization,CRITICAL,TRUE,"Executive review handles institution-level approval continuity and exceptional authorization paths."
executive_override,"PROCUREMENT|EMERGENCY_OVERRIDE|INFRASTRUCTURE",5000000,TRUE,TRUE,TRUE,emergency_override,CRITICAL,TRUE,"Executive override is an exceptional continuity mechanism requiring explicit justification and post-event review."
program_review,"GRANT_EXPENSE",75000,FALSE,FALSE,FALSE,program_validation,HIGH,TRUE,"Program review validates grant-related operational and delivery context."
document_review,"GRANT_EXPENSE|PROCUREMENT",0,FALSE,TRUE,FALSE,attachment_validation,HIGH,TRUE,"Document review validates attachment continuity and supporting evidence readiness."
research_review,"PARTNERSHIP|CONSULTING",150000,FALSE,TRUE,FALSE,partnership_review,HIGH,TRUE,"Research review validates research collaboration and institutional partnership continuity."
it_review,"PROCUREMENT",120000,FALSE,FALSE,FALSE,technical_review,HIGH,TRUE,"IT review validates technical procurement and infrastructure continuity."
administration_review,"PROCUREMENT",100000,FALSE,FALSE,FALSE,operational_review,MEDIUM,TRUE,"Administration review validates operational procurement readiness."
communications_review,"GRANT_EXPENSE",50000,FALSE,FALSE,FALSE,operational_review,MEDIUM,TRUE,"Communications review validates outreach and communication activity continuity."
travel_review,"GRANT_EXPENSE",30000,FALSE,FALSE,FALSE,operational_review,MEDIUM,TRUE,"Travel review validates travel-related operational context and institutional justification."
governance_review,"CONSULTING|LEGAL_SERVICE",200000,FALSE,TRUE,TRUE,governance_review,CRITICAL,TRUE,"Governance review evaluates institutional governance exposure and review continuity."
internal_audit,"ANY",9999999,FALSE,TRUE,TRUE,audit_escalation,CRITICAL,TRUE,"Internal audit escalation review preserves institutional accountability continuity when conflicting review states appear."
security_review,"PROCUREMENT",300000,FALSE,TRUE,FALSE,security_review,CRITICAL,TRUE,"Security review validates operational and institutional security continuity."
program_director,"GRANT_EXPENSE|PARTNERSHIP",200000,FALSE,TRUE,TRUE,program_authorization,HIGH,TRUE,"Program director review handles institutional program-level authorization continuity."
compliance_observer,"ANY",0,FALSE,TRUE,FALSE,observation_only,CRITICAL,FALSE,"Compliance observer role is informational only and cannot approve institutional actions."